"Geo Point","Geo Shape","insee","ident","siret","infor","adresse","exploit","th_heur","th_nuit","ta_moivel","th_quar","th_10","np_pmr","ta_type","ta_nres7j","ta_titul","libres","np_veltot","np_2rele","np_hgsup","np_stlav","np_covoit","prepaye","nb_niv","th_4","ta_ntitul","th_3","th_2","th_24","gabari_max","mdate","url","np_vle","np_fourr","th_demi","secteur","np_global","np_velec","gid","gabari_std","titul","propr","np_mobalt","ta_handi","np_hginf","connecte","np_pr","etat","nom","total","typgest","type","an_serv","ta_resmoi","np_2rmot","cdate","np_total","tv_1h","ta_moimot"
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","607","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-16T10:22:33+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","621","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-17T11:00:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","615","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-17T13:30:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","627","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-17T15:48:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","743","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-18T02:14:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","727","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-18T08:24:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","677","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-18T14:00:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","637","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-18T17:14:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7742737,-0.5638564","{""coordinates"": [-0.5638564, 44.7742737], ""type"": ""Point""}","33550","CUBPK91","80822705200012","3,1€ conducteur seul, 4€ pour 2 à 5 personnes dans VL","Avenue des Pyrénées 33140 Villenave d'Ornon","KEOLIS","3.1",,"0.0","3.1","3.1","20","PAYANT_TARIF_PARC_RELAIS",,"0.0","723","56","0","0","0","20","0.0","4","3.1","3.1","3.1","3.1",,"1.9000000000000001","2021-12-21T21:15:54+01:00","https://www.infotbm.com/les-parc-relais-tout-public","20","0","3.1","PERIPHERIE","753","4","451","1.9000000000000001","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","753","LIBRE","Parc-Relais Villenave Pyrenees","753","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2019",,"28","2019-02-05T16:41:59+01:00","753","0.0",
"44.7884435,-0.6506672","{""coordinates"": [-0.6506672, 44.7884435], ""type"": ""Point""}","33318","CUBPK88","80822705200012","4€ pour 2 à 5 personnes et 3,10€ conducteur seul","Allée Héliodore Galienne 33600 Pessac","KEOLIS","3.1",,"0.0","3.1","3.1","7","PAYANT_TARIF_PARC_RELAIS",,"0.0","143","28","0","0","0","5","0.0","1","3.1","3.1","3.1","3.1",,"2.1","2021-12-16T10:22:33+01:00","https://www.infotbm.com/fr/mode/parcs-relais","4","0","3.1","PERIPHERIE","146","6","321","2.1","TBM","BORDEAUX_METROPOLE","0","AUTRE","0","1","146","LIBRE","Parc-Relais Cap Metiers","146","DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE","SILO","2018",,"0","2018-11-13T17:04:59+01:00","146","0.0",
